,Date,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,모두투어,SK디앤디
279,2023-05-18,162194.1875,78343.703125,54421.30078125,6835.0322265625,39488.9453125,17065.759765625,21528.83984375
280,2023-05-19,163553.890625,78439.015625,54704.25,6961.439453125,39724.83984375,17144.44921875,21577.328125
281,2023-05-22,167633.03125,78343.703125,56024.703125,7033.67236328125,39536.12109375,17262.484375,21092.443359375
282,2023-05-23,166953.1875,78534.3203125,56119.0234375,7051.73046875,39441.76171875,17252.6484375,21237.908203125
283,2023-05-24,167050.296875,77581.234375,56307.65625,6961.439453125,39300.2265625,17016.580078125,21140.931640625
284,2023-05-25,164913.609375,76818.765625,56213.3359375,6862.119140625,38734.07421875,16967.3984375,20753.02734375
285,2023-05-26,167827.28125,76246.9140625,55458.79296875,6789.88671875,38451.00390625,16839.52734375,20413.607421875
286,2023-05-30,167730.15625,75579.7578125,54421.30078125,6970.46826171875,38922.79296875,16996.90625,20559.072265625
287,2023-05-31,162971.15625,76246.9140625,53855.390625,6871.1484375,39111.51171875,16829.69140625,20074.1875
288,2023-06-01,163262.53125,76532.84375,54138.34765625,6934.3525390625,38686.8984375,16810.01953125,20413.607421875
289,2023-06-02,164719.359375,76342.2265625,55175.83984375,6934.3525390625,39300.2265625,16829.69140625,20801.513671875
290,2023-06-05,164913.609375,77009.3828125,56119.0234375,7006.5849609375,39583.30078125,17105.10546875,21043.95703125
291,2023-06-07,169769.71875,76532.84375,56684.92578125,7024.64306640625,39536.12109375,17410.025390625,21334.88671875
292,2023-06-08,165787.71875,76914.078125,56779.2421875,7142.02197265625,39158.69140625,17724.783203125,21043.95703125
293,2023-06-09,168118.65625,77390.6171875,56684.92578125,7132.99267578125,39819.1953125,17419.86328125,21625.81640625
294,2023-06-12,166079.078125,76437.53125,56684.92578125,7006.5849609375,39347.40625,17311.6640625,21965.236328125
295,2023-06-13,165787.71875,76628.1484375,56024.703125,6916.2939453125,38686.8984375,17439.53515625,21431.86328125
296,2023-06-14,163748.140625,76437.53125,56307.65625,6907.26513671875,38734.07421875,17282.15625,20559.072265625
297,2023-06-15,162388.421875,76056.296875,55741.74609375,6744.7412109375,38592.5390625,17046.087890625,20607.560546875
298,2023-06-16,161222.953125,75293.828125,57816.734375,6717.65380859375,38545.359375,17459.20703125,20850.001953125
299,2023-06-19,159863.25,75103.2109375,59797.40625,6816.9736328125,38451.00390625,18137.90234375,21674.306640625
300,2023-06-20,158794.90625,74531.359375,59325.81640625,6771.828125,38215.10546875,18019.869140625,21771.28125
301,2023-06-21,156561.09375,71576.7890625,59891.72265625,6726.6826171875,37837.67578125,17587.078125,21334.88671875
302,2023-06-22,156366.84375,71195.5546875,59703.0859375,6726.6826171875,38309.46484375,17478.87890625,21431.86328125
303,2023-06-23,153647.4375,68908.1484375,58759.9140625,6591.24658203125,37696.13671875,17065.759765625,21286.3984375
304,2023-06-26,147237.359375,67859.7578125,58948.546875,6663.47900390625,37413.05859375,16810.01953125,21480.3515625
305,2023-06-27,150636.640625,68240.9921875,59042.8671875,6654.4501953125,37601.77734375,16652.640625,21528.83984375
306,2023-06-28,148694.1875,67764.4453125,57628.1015625,6636.39208984375,37979.20703125,16918.216796875,21916.74609375
307,2023-06-29,144032.3125,65762.9609375,57053.734375,6555.1298828125,37165.02734375,16426.408203125,21818.0234375
308,2023-06-30,144420.8125,65381.73046875,57340.921875,6726.6826171875,37548.171875,16672.3125,21966.109375
309,2023-07-03,145392.03125,66525.4296875,57436.64453125,6708.62451171875,38506.03515625,16514.93359375,22114.1953125
310,2023-07-04,143449.578125,63856.79296875,56670.82421875,7214.25439453125,37883.42578125,16200.1767578125,21966.109375
311,2023-07-05,142963.984375,64047.41015625,56096.4609375,7439.982421875,37404.4921875,16072.306640625,21768.66015625
312,2023-07-06,139370.453125,63666.17578125,56000.73046875,7358.72021484375,36398.73828125,15590.333984375,21077.591796875
313,2023-07-07,136165.421875,62713.0859375,55330.63671875,7132.99267578125,36111.37890625,15590.333984375,21521.849609375
314,2023-07-10,138981.953125,63952.1015625,57149.46484375,7205.22509765625,36350.84765625,15777.2216796875,21176.31640625
315,2023-07-11,140924.40625,64905.1875,56766.5546875,7169.10888671875,36829.77734375,15777.2216796875,20337.162109375
316,2023-07-12,143838.078125,65953.578125,57149.46484375,7151.05078125,36877.66796875,16170.6689453125,20435.884765625
317,2023-07-13,143255.34375,65953.578125,56958.01171875,7250.37109375,36542.41796875,16269.0302734375,21719.298828125
318,2023-07-14,145100.671875,66811.359375,58489.65234375,7205.22509765625,37643.95703125,16160.83203125,21423.126953125
319,2023-07-17,143838.078125,67097.28125,57340.921875,7241.341796875,37404.4921875,15885.419921875,22114.1953125
